0.000000000000000000e+00,8.836106991800622400e+16,3.106660039718390170e+19,1.314000000000000057e+01,4.211703547328677928e+02,5.561345493522291008e+02,1.629830853604797233e+23,5.494691666620253470e-04,5.517271975933940597e+21,3.721506316194241741e+19
1.131551612816274546e-02,1.447950248865089920e+17,3.091392086312756429e+19,8.390000000000000568e+00,4.442844671893707869e+02,4.052257177461017363e+02,1.183658396537473424e+23,6.012222256744951480e-04,5.490156858612508525e+21,6.433018048337433395e+19
2.182069789719400660e-02,1.749001388859229760e+17,3.078909924264838349e+19,7.620000000000000107e+00,4.945557677681733821e+02,3.946259430827024630e+02,1.144135454436183612e+23,6.530238630924138079e-04,5.467989166626395128e+21,8.649787246948779622e+19
4.066142781771479864e-02,2.128267946432329920e+17,3.056605267643425178e+19,7.290000000000000036e+00,5.925467279198400092e+02,4.317111780915409440e+02,1.241745533192918742e+23,7.556895746694597318e-04,5.428377218316367823e+21,1.261098207795154452e+20
6.837268811518368294e-02,2.612280016793900800e+17,3.019350927369641984e+19,7.299999999999999822e+00,7.360300354517936512e+02,5.293767000761890813e+02,1.510666675465258921e+23,9.319087178290030079e-04,5.362215383758800945e+21,1.922716553370826834e+20
1.018957480079867167e-01,3.212295799774515200e+17,2.962516757013479834e+19,7.500000000000000000e+00,9.127624029567602975e+02,6.925618876890114279e+02,1.946696901773908299e+23,1.191046570802297431e-03,5.261280755774873666e+21,2.932062833210094715e+20
1.533735897049853247e-01,4.206709046629092480e+17,2.840380115886537114e+19,8.039999999999999147e+00,1.212622050262335733e+03,1.052392898425405747e+03,2.874587076607065215e+23,1.705899038762686941e-03,5.044372224197834834e+21,5.101148148980485980e+20
2.048514314019839189e-01,5.294455786078973440e+17,2.661048529461404467e+19,8.779999999999999361e+00,1.565030904194096365e+03,1.577510222079109326e+03,4.104911386441120838e+23,2.392053966520466413e-03,4.725888346485599240e+21,8.285986926102840607e+20
2.547490664437960795e-01,6.357258470676546560e+17,2.419547754009793331e+19,9.800000000000000711e+00,1.978041209008000124e+03,2.300407439559298382e+03,5.579704640525755199e+23,3.253077807177864531e-03,4.296995115964544582e+21,1.257491923131338588e+21
3.006112344534153102e-01,7.262148552621140480e+17,2.132200277016173363e+19,1.113000000000000078e+01,2.434274893780914681e+03,3.195011301415894650e+03,7.062261099083350493e+23,4.240235457668801479e-03,3.786680449440578273e+21,1.767806589655304897e+21
3.647426487257782179e-01,8.146142818323321600e+17,1.642043583612894208e+19,1.433000000000000007e+01,3.238710985969204103e+03,4.914297166326661682e+03,8.989109805474222608e+23,5.971449959899862922e-03,2.916186815198095475e+21,2.638300223897787695e+21
4.252042314838703208e-01,8.324505923426270720e+17,1.145335914111851520e+19,1.998000000000000043e+01,4.228993401627313688e+03,7.096717498387284650e+03,9.579285474009228027e+23,8.001561256054225482e-03,2.034058976898164720e+21,3.520428062197718450e+21
4.807537852250379773e-01,7.857467692595196160e+17,7.417179653722049536e+18,2.346999999999999886e+01,5.392619358168075451e+03,9.631446509868186695e+03,6.875518371463560335e+23,1.020350057897362502e-02,1.317253800568973427e+21,4.237233238526909743e+21
5.381835721174166309e-01,6.920100684307365120e+17,4.379454894332221952e+18,2.426000000000000156e+01,6.902671066459274698e+03,1.302339145937619105e+04,3.686838361820958420e+23,1.278278992881039418e-02,7.777691620405359411e+20,4.776717877055347229e+21
5.977788452261691976e-01,5.785993854625589760e+17,2.471035774182279168e+18,2.457000000000000028e+01,8.841425764727748174e+03,1.794192438825404679e+04,1.759581201159299478e+23,1.570642638158126214e-02,4.388435250115729818e+20,5.115643514084310122e+21
6.610110842964573852e-01,4.680484719437461120e+17,1.398104750963916544e+18,2.475000000000000000e+01,1.133684006121819039e+04,2.541044901388597646e+04,8.106883950837607327e+22,1.894506436218776693e-02,2.482963717720637440e+20,5.306190667323819426e+21
7.328239874430376721e-01,3.678786533743968000e+17,8.009754639456994560e+17,2.487000000000000099e+01,1.471201923703246757e+04,3.715648744131820422e+04,3.666412875661714443e+22,2.254842671816149197e-02,1.422492137581581599e+20,5.412237825337725026e+21
8.186664745067674387e-01,2.815621360127089280e+17,4.673401842516307200e+17,2.492999999999999972e+01,1.943261920946143437e+04,5.539076779924126458e+04,1.640839610239601449e+22,2.630265781785726120e-02,8.299726615832271258e+19,5.471489772937560457e+21
9.289376748200449674e-01,2.091837264441003200e+17,2.741797984740910080e+17,2.549000000000000199e+01,2.632037481840556939e+04,8.217941536761878524e+04,7.294949775526813762e+21,2.940009675784044374e-02,4.869295317634567373e+19,5.505794085919537496e+21
1.000000000000000000e+00,1.779208338239874240e+17,2.080992586492411520e+17,2.549000000000000199e+01,3.101114995272434680e+04,9.809307097662687011e+04,4.709299335665120444e+21,2.999999999999999889e-02,3.695738166645882880e+19,5.517529657429424341e+21
